Columna2;CODIGODEPTO;NOMBREDEPTO;VICEPRESIDENCIANIVEL1;VICEPRESIDENCIANIVEL2
202107;1980723;UNIDAD GESTIÓN INVENTARIOS Y ALMACENES;VICEPRESIDENCIA SUMINISTROS Y SERVICIOS COMPARTIDOS;GERENCIA CADENA DE SUMINISTRO
202107;1337502;UNIDAD TRANSACCIONES T&D ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA T&D ENERGÍA
202107;1980159;UNIDAD CANALES REGIONAL;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA COMERCIAL
202107;1337001;DIRECCIÓN PLANEACIÓN T&D ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA T&D ENERGÍA
202107;1980683;DIRECCIÓN NORMATIVIDAD CONTABLE;VICEPRESIDENCIA EJECUTIVA FINANZAS E INVERSIONES;GERENCIA CONTABILIDAD Y SERVICIOS FINANCIEROS
202107;1980135;UNIDAD FIDELIZACIÓN;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA COMERCIAL
202107;1980278;UNIDAD INGENIERÍA DE PROYECTOS 2;VICEPRESIDENCIA EJECUTIVA PROYECTOS E INGENIERÍA;GERENCIA CENTROS DE EXCELENCIA TÉCNICA
202107;1980146;DEPARTAMENTO LIQUIDACIÓN;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA COMERCIAL
202107;1337010;UNIDAD GESTIÓN DEL RENDIMIENTO T&D ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA T&D ENERGÍA
202107;1989073;UNIDAD SOLUCIONES DE TI OPERACIÓN E INGENIERÍA DEL NEGOCIO;VICEPRESIDENCIA EJECUTIVA NUEVOS NEGOCIOS, INNOVACIÓN Y TECNOLOGÍA;GERENCIA TECNOLOGÍA DE INFORMACIÓN
202107;1980722;DIRECCIÓN LOGÍSTICA Y COMERCIO EXTERIOR;VICEPRESIDENCIA SUMINISTROS Y SERVICIOS COMPARTIDOS;GERENCIA CADENA DE SUMINISTRO
202107;1930736;UNIDAD SOPORTE Y GESTIÓN DE SERVICIOS;VICEPRESIDENCIA SUMINISTROS Y SERVICIOS COMPARTIDOS;GERENCIA SERVICIOS GRUPO EPM
202107;1980806;GERENCIA PROGRAMA TRANSFORMACIÓN TECNOLÓGICA Y 4RI;VICEPRESIDENCIA EJECUTIVA NUEVOS NEGOCIOS, INNOVACIÓN Y TECNOLOGÍA;GERENCIA PROGRAMA TRANSFORMACIÓN TECNOLÓGICA Y 4RI
202107;1337383;UNIDAD OPERACIÓN INTEGRADA T&D ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA T&D ENERGÍA
202107;1511060;GERENCIA AGUAS RESIDUALES;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA AGUA Y SANEAMIENTO
202107;1312203;UNIDAD GESTIÓN BOLSA DE ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GENERACIÓN ENERGÍA
